评论时间,IP,用户ID,昵称,评论,评分,lr_probabilities,nn_probabilities,combined_probabilities,sentiment
1687536000,河南,c1e9ba35-d4b5-4f29-b659-4673be134d77,同程会员_F27D65DD6C8,缆车玻璃随时擦，很透亮，坐在里面拍照不受影响。坐了两道缆车，从十里画屏往上步行，一路景色很美很仙，登项也不是很累。就是山上播放的现代音乐感觉不太好，如果播放古典道教的轻音乐会更有意境。山下气温30多度，但山上很凉快，中午12点多都感觉不到热。,10,[0.00146019 0.99853981],[0.00867957 0.99132043],[0.00434794 0.99565207],1
1675267200,河南,e727f9b0-1670-45e9-b8a5-c081428b53fc,同程会员_F8F57568D9B,优点:风景还是不错了，十里画屏有种国画的美感，金殿也是非常出片的地方。缺点:道路修的比较的窄，如果客流量多了以后可能会拥堵，路上见到了两次因为拥堵而发生争吵的场景。管理糟糕，明明禁止携带火种，山上抽烟的人比比皆是，入口处的安检形同虚设。随处可见的**，甚至见到了，环卫工为了拿**篓底下的矿泉水瓶而把上面的泡面盖扔出去，我都惊呆了。山上的物价也是高，也爬了不少的山泰山，华山，黄山，太行山。都没有这么高的物价，山上的东西贵能理解但不能离谱吧。从来没有这么失望。总结:山上的风景还是不错的，是一个值得打卡的地点，也是非常的出片，但是对于注重旅游质量的人，我觉得需要考虑一下。,3,[0.2412489 0.7587511],[0.03073454 0.96926546],[0.15704316 0.84295685],1
1709740800,陕西,196f4ad1-133b-42d8-86df-8602487632b9,同程会员_338C135BB36,老君山景区可以，导游自己忘了收费都过了一个月，然后他找我收费,3,[0.997499 0.002501],[0.89093053 0.10906947],[0.9548716  0.04512839],-1
1702051200,安徽,3b78b206-38cd-48f0-a7a8-8c826a6b4f81,4EF343541CEC4B99,方便快捷，略有优惠，还行吧！,10,[2.48445887e-05 9.99975155e-01],[0.00558603 0.994414  ],[0.00224932 0.9977507 ],1
1674489600,河南,9489e6b4-2ec5-46df-8fa6-41350e6bc0ba,E829DEE0901A3944,老君山风景区！风景这边独好!,10,[0.00261606 0.99738394],[0.01223814 0.98776186],[0.0064649 0.9935351],1
1681488000,河南,a4696e5b-e8a5-4cbf-9563-55d061e0e08d,139ummzl855,非常棒非常非常值得一去,10,[1.90463045e-04 9.99809537e-01],[0.02688819 0.9731118 ],[0.01086956 0.98913046],1
1713456000,江西,33af3ea7-1a66-4d43-b645-ee2e175a84f3,同程会员_E1B83E48EAE,孔导游认真负责有经验，能够为游客着想，根据游客情况及时调整集合时间，关注赶高铁的游客怕赶不上火车,10,[0.04692752 0.95307248],[0.02202308 0.9779769 ],[0.03696574 0.96303426],1
1697817600,河南,4836aa25-9ba9-4bfd-b840-6ee620b1e1e0,13891321213,超赞的景点。很开心，推荐索道一二都坐。山顶风景秀丽。就是人太多了。最好再来个无人机航拍,10,[0.0046041 0.9953959],[0.01442981 0.9855702 ],[0.00853438 0.99146561],1
1687881600,河南,0a3543e1-9f53-40cc-8bc5-684c06114a3c,同程会员_E11DA3B2DB9,非常不錯的一次體驗，同行的小袁導遊非常貼心，少走很多彎路。,10,[0.00684596 0.99315404],[0.01170468 0.9882953 ],[0.00878945 0.99121055],1
1679155200,河南,918f8be7-f6e4-4542-9f82-492eb5feddf5,同程会员_1E02C9E0B6F,不管是吃住都非常方便，景色漂亮又好玩，价格还不贵，很棒的体验,10,[0.00485498 0.99514502],[0.00178993 0.9982101 ],[0.00362896 0.99637105],1
1694966400,河南,6bdb22ef-a6d9-4609-99dd-38246f025791,同程会员_C4E31EA2230,小袁导游服务很好，讲解非常到位。整体一天玩下来很充实。,10,[9.25191374e-04 9.99074809e-01],[0.00368321 0.9963168 ],[0.0020284  0.99797161],1
1712505600,河南,b43e7831-78e9-4b9f-a50e-36b6be2c1e58,同程会员_D545D3FBA49,上山索道排队一个半小时，下山索道排队50分钟，山上没有云海，建筑都是2000年以后修的，不知道为什么那么火？一处古迹没有,3,[0.94033717 0.05966283],[0.79634345 0.20365658],[0.88273969 0.11726034],-1
1696262400,河南,86c4b7f4-9779-4da2-ad69-5956eb1c4cb8,同程会员_EF73F647104,卫生不行，而且地方好小，是目前体验，最差的一次住行，床太硬了，睡不好！,3,[0.88794304 0.11205696],[0.6843766  0.31562337],[0.80651646 0.19348353],-1
1696262400,河南,86a5938e-5f56-4d8e-907b-e4a16e3d690c,同程会员_AD5353F5C63,实在过份啦，说好的晚上八点返程回洛阳，等到马上9点半还没有发车！服务太差啦,3,[0.89882896 0.10117104],[0.7327129  0.26728708],[0.83238257 0.16761745],-1
1675526400,山西,2d61b021-c17b-4278-bd69-3589600a961e,E3192779BF2987D3,非常好，老君山的风景非常优美，第一段索道还是有必要坐的。,10,[3.74609890e-05 9.99962539e-01],[0.00134623 0.99865377],[5.60968819e-04 9.99439031e-01],1
1681228800,河南,e985b821-5403-4dfa-8469-45ddff26427a,同程会员_3C39B7DBFEF,人比景都多  景区在建设中  好多景点不对外开放  金顶在维修,3,[0.51876422 0.48123578],[0.36262947 0.6373705 ],[0.45631032 0.5436897 ],0
1674576000,河南,1fdb0323-4f5b-472f-9a31-e49895b35128,13992sdaora,"景区工作人员服务好,景区景色一般。",6,[0.02756224 0.97243776],[0.0249179 0.9750821],[0.02650451 0.97349551],1
1682265600,北京,7eb2fa5a-a80d-4dbd-b8ef-5b5846ab85a2,同程会员_81AB11D281D,提前购票省心省时又省钱，👍老君山一定要来看看,10,[0.05335481 0.94664519],[0.04588473 0.9541153 ],[0.05036678 0.94963324],1
1696521600,安徽,153a89a6-8eae-4855-9ef5-c52ebd81bfe3,同程会员_064D5F162EA,好风光，祖国大好河山美哉！！！,10,[0.21136818 0.78863182],[0.07906413 0.92093587],[0.15844656 0.84155344],1
1701014400,山东,3dacf0a4-9b3f-455f-b733-b4fad144f6a9,同程会员_CA3F4747B35,风景和别的地方比真的一般，必须坐索道,6,[0.09272406 0.90727594],[0.27094865 0.72905135],[0.1640139  0.83598612],1
1726502400,河南,393d9df8-3e2d-4a55-88f1-b487392d25c6,同程会员_8A34E2E4813,导游非常专业，讲解清晰，服务周到,10,[7.72198054e-04 9.99227802e-01],[0.00197262 0.9980274 ],[0.00125237 0.99874764],1
1711468800,未知,e777e3e5-e7de-47c8-9ffe-f179adc9960a,BB06C7B48662DB15,不虚此行啊，导游小邱美女介绍的太详细了，每一步都讲的明明白白的，是很温柔，知道的信息也多，特别特别喜欢，下次也爬的时候还找她,10,[0.00972124 0.99027876],[0.01890439 0.9810956 ],[0.0133945  0.98660552],1
1677081600,上海,ba9100b6-ef88-4160-a896-fac2fd80e39b,13661chygha,用法简单，值得购买，还次还会,10,[3.38688192e-04 9.99661312e-01],[0.008578 0.991422],[0.00363441 0.99636559],1
1675872000,河南,d803d232-2ade-4a51-ab44-d23499693416,同程会员_C6AF7FD10C5,非常方便，购票时下载二维码，凭二维码进入景区。,10,[0.02422738 0.97577262],[0.0452823 0.9547177],[0.03264935 0.96735065],1
1687536000,河南,ed202875-0d7c-47d2-b09d-ec0d90ffc8f6,同程会员_CADB19D43B1,性价比高，比自己个人出行更方便，服务态度好🉑,10,[0.0016202 0.9983798],[0.0055604 0.9944396],[0.00319628 0.99680374],1
1719504000,湖北,aa31d002-32d2-47fc-b385-b3c153f482ba,同程会员_F9644C50CB9,💰门票价格：比到景区买便宜，刷身份证方便,10,[0.41502972 0.58497028],[0.39255428 0.6074457 ],[0.40603955 0.59396046],0
1695484800,新疆,800b2e4d-5e06-4104-89f9-9cea164facdb,同程会员_46E2C673D7C,使用方便，价格优惠，推荐,10,[0.00906557 0.99093443],[0.07328343 0.92671657],[0.03475271 0.96524728],1
1683129600,河南,effbd09c-06b0-4c16-b71d-5e7b5be959b4,同程会员_12E8B1B11BB,老君山，体验很不错哦！,10,[0.00161715 0.99838285],[0.00574994 0.99425006],[0.00327027 0.99672975],1
1684339200,河北,12e78ee8-c2f1-4ed0-8d6e-802361bc0768,13832agqdta,网上订好票直接排队坐索道即可,10,[0.01149418 0.98850582],[0.15457022 0.8454298 ],[0.06872459 0.93127542],1
1692028800,河南,436fb249-7bfa-4f3e-9682-6a6521d29197,5D8970C0F2AE66C1,旅行愉快！风景如画，人间仙境。值得一去的,10,[1.38064625e-05 9.99986194e-01],[0.0011518 0.9988482],[4.69003946e-04 9.99531008e-01],1
1673366400,河南,ef5ba9ca-16be-4511-be40-08d494e187ce,同程会员_533E24FF682,从信阳到洛阳，远赴人间惊鸿宴，不虚此行,10,[1.47876521e-04 9.99852123e-01],[0.00679648 0.9932035 ],[0.00280732 0.99719268],1
1688745600,河南,f0f136c7-76c2-43f8-9537-cd08eaafb052,同程会员_AFA8744498B,一句青春没有售价  我的腿从山下抖到山上,10,[0.28148713 0.71851287],[0.29757804 0.70242196],[0.28792349 0.71207651],1
1716048000,陕西,4d993977-15bd-4761-9ea4-be04b187f72d,同程会员_99E34778E07,商业味太浓满满的套路！环境也不如三清山好！,6,[0.14733978 0.85266022],[0.34466857 0.65533143],[0.22627131 0.77372872],1
1689436800,河北,7749a208-55e2-4199-be12-12f1811147f0,myt99ch,景色很好，值得一看。,10,[4.49714255e-04 9.99550286e-01],[0.00115395 0.99884605],[7.31406922e-04 9.99268599e-01],1
1683561600,安徽,21ba557b-7567-4b9c-be47-457da7a5a8f9,晨曦宝贝2012,五一去的，要求提订票，看见了就定了，价格比实地买要优惠很多,10,[0.15923312 0.84076688],[0.26474 0.73526],[0.20143587 0.79856414],1
1675267200,河南,4de99d04-7668-4c37-996e-f355b8e50e6d,同程会员_903E39DE7D9,老君山挺好看，但是天气预报该**，山上没下雪，下次一定要看上雪景,10,[0.00591594 0.99408406],[0.0788154 0.9211846],[0.03507572 0.9649243 ],1
1677859200,河南,f6267b3d-0900-4abd-a6b0-2bb102482c8d,同程会员_50F07B85871,如果热衷于山，建议去中华五大名山。老君山这两年才火，被捧起来的 ,3,[0.58000979 0.41999021],[0.46099365 0.53900635],[0.53240333 0.46759667],0
1675267200,河南,d19f8480-899c-4e4d-91b5-f921ec90e2af,同程会员_1C00EA2008E,景色宜人，雪景更美，就是太滑了,10,[0.08721876 0.91278124],[0.02735519 0.9726448 ],[0.06327333 0.93672668],1
1702396800,河南,4b147448-a7bf-42c3-b2a4-484cb6e0d0b4,33FC8F97B4BBE9E3,果然天上人间，惊鸿一瞥！,10,[6.54950057e-05 9.99934505e-01],[0.00869411 0.9913059 ],[0.00351694 0.99648308],1
1682870400,河南,e4c97434-f03a-4719-a6a0-b88facc96b99,知足等于常乐,人真多，一次愉快的旅行,10,[0.00172163 0.99827837],[0.00320786 0.99679214],[0.00231612 0.99768389],1
1727539200,河南,acf391b1-641e-4c9e-bcd7-e45e429eb374,同程会员_03E5D74DB7A,客服下班了，我怎么退。,3,[0.7040051 0.2959949],[0.6527492  0.34725085],[0.68350273 0.31649728],-1
1702051200,安徽,00f21ab1-48f5-459e-9218-6d1bdf695695,4EF343541CEC4B99,方便快捷而且还省了15元，希望优惠力度更大点。,10,[8.26419658e-04 9.99173580e-01],[0.01133221 0.9886678 ],[0.00502874 0.99497128],1
1672675200,未知,ef2eac43-00f4-4a79-a1fb-9a5d8ac69a1b,小小翼,好哈哈哈哈哈哈哈哈哈,10,[0.22316119 0.77683881],[0.0792048 0.9207952],[0.16557864 0.83442137],1
1725984000,河南,3d785c5d-ce52-4e0a-8952-255ef6da3aff,同程会员_300007E2422,非常好，导游耐心，合格,10,[1.01520501e-04 9.99898479e-01],[0.00554168 0.9944583 ],[0.00227759 0.99772243],1
1726848000,河南,56bc6da8-2b9e-4862-9734-974218389fa4,同程会员_D7D1A67016A,不建议，想一个人的玩别买这个,3,[0.57475705 0.42524295],[0.34003693 0.6599631 ],[0.480869   0.51913102],0
1683129600,河南,56f8e529-65bb-4e2b-8a9a-c1a0e966257d,wzy1119,验票便捷，出行方便！,10,[2.40878149e-05 9.99975912e-01],[0.005588 0.994412],[0.00224965 0.99775035],1
1698595200,河南,da1932b2-168e-4bc0-9b58-82896be0348b,同程会员_0943E513D20,缆车很多 不累 四个小时够了,10,[0.04468716 0.95531284],[0.03758162 0.9624184 ],[0.04184495 0.95815506],1
1692028800,河南,ab8dfd63-5f78-4574-8a6a-5ccc14c86f6d,5D8970C0F2AE66C1,人间仙境，山上风景如画。名不虚传！,10,[0.00241367 0.99758633],[0.00300032 0.9969997 ],[0.00264833 0.99735166],1
1692806400,安徽,e70cdfa2-0f22-4d81-85f1-1a5fbe3d9211,Mikehu,有些优惠，还行，老君山适合一日游。,10,[0.00301861 0.99698139],[0.02739155 0.97260845],[0.01276779 0.98723223],1
1676304000,湖北,277e922a-6f16-4640-868d-4238965036f4,同程会员_0FB3FA424E0,下雪天来的，雪景很不错！,10,[0.02469767 0.97530233],[0.01864374 0.98135626],[0.02227609 0.97772391],1
1682956800,河南,160e293c-7f50-473c-9090-03effef73a5a,同程会员_60C9B53CA11,十里画屏很惊艳，上面的金顶还可以,10,[0.00242426 0.99757574],[0.02290899 0.977091  ],[0.01061815 0.98938186],1
1682870400,河南,5af58182-8d59-47a5-bd85-cf4c5b1e9577,906A848F300E766C,挺好的，植被有点少哦,10,[0.00524507 0.99475493],[0.07163006 0.92836994],[0.03179907 0.96820095],1
1691424000,河南,cf250c54-1883-4fe5-8f27-053845964577,同程会员_0E5322F0612,导游很负责任！细心开朗！,10,[4.76360214e-04 9.99523640e-01],[0.00368261 0.9963174 ],[0.00175886 0.99824115],1
1447689600,未知,d5b4295a-a9c7-43e1-bbdb-13d0a6b6727b,135****3910,刚好赶上了同程网的活动，花六元钱就买了平时一百六十元的双人票。说下这次旅行的经历吧，也给以后的游客说点经验。上午从郑州坐高铁到洛阳龙门站也就四十分钟，然后打车到王城大道等去栾川的车，也就十一块钱。其实客车都是从锦远汽车站出发，如果到老火车站就能直接坐了。高速要两个小时每人五十，低速没坐38元听说四五个小时太浪费时间，直接在半路下车离票务中心很近了。建议坐小车每人五块，能到景区大门中间下车买票，因为票务中心到景区门口还有不近的距离。到了景区才下午两点多就直奔左边那条路也就是中灵索道方向有很多宾馆，我们住的同程网买的金山宾馆。因为条件都差不多，都是三四层的新建小楼。安排好宾馆订好晚上和第二天早上的菜，因为淡季没人食材要提前准备。我们就去追梦谷方向，这个选择其实挺对的，当天天气不好下午没计划上山也是对的。追梦谷方向一般人都是到瀑布就停止了，我们三点半才出发，四点半天就有些昏了，离瀑布还有很远的路估计还得一个小时天肯定黑了，路上也都没人就上的时候有几个人淡季，下山的路就轻松多了又累又渴六点多到宾馆，饭很快做好还不赖。重点说下第二天吧，九点出发买了中灵索道往返票，这是淡季强烈推荐的。十分钟就坐上去到了，接着步行几分钟到峰林索道票务中心买票单上的，想着如果有体力省下下山的索道，这段也就五分钟。然后直奔十里画屏，旅游了那么多山这是最好看的山景和云景交织在一起，过了十里画屏有段路真不好走还好不长，上去之后有个岔口金顶道观群，和马什么岭其实就是伏牛山顶海拔2297米，这个最好不要漏过。也就二三百米，因为老君山最高峰和玻璃观景台都在这里，玻璃观景台有点小但对我这种胆小还是有些害怕的，女友比我胆大多了直接就跨上去。接着去金顶道观群上了南天门就是，一共五座，买了把同心锁和两个手链。这时候十二点发现雾特别多相隔十几米都看不到，上午还是阳光普照这时候去十里画屏就太可惜了。坐了滑道下到峰林索道每人二十感觉不是很远，就是因为滑道潮气大不太滑还要用脚自己。想早点回去女友也挺累的就买了峰林索道下行，接着又坐中灵索道下到山底。一路坐车就回去了。我们也算是全程索道，因为淡季人少正好是活动结束一共遇到不到十拨人搞得我们这遇到人就兴奋，也就没有单纯爬山的兴趣了，孤零零再山路上几个小时也没兴趣。整体感觉挺开心的，挺感谢同程网这次活动，给了我们这么多实惠。作为回报就认真写下这篇评论，希望同程网活动还能更多更全面。,10,[0.0262332 0.9737668],[0.12799835 0.87200165],[0.06693926 0.93306074],1
1449417600,未知,0234eedd-8f1c-4d2a-b5a8-22c14ab560a7,180****7691,几个人自驾去的，早上六点从郑州出发，十点到票务中心取票，然后去县城吃早饭，特别推荐秦氏黄小吃很不错，豆沙包纯豆子做的，在郑州是吃不到的，吃完饭开车到景点，因为之前看过评论中的攻略，路途和游玩都很顺利，一定要座中灵索道往返，上面的几个索道可以忽略不计，这个时间去主要就是爬山，人很少，景区的工作人员服务态度很好，环境也很好，春天去风景应该很美，晚上在县城吃的饭，川味小火锅味道很好，而且经济实惠，总之这次玩的很开心，同程客服也很好！,10,[0.01303473 0.98696527],[0.02952594 0.97047406],[0.01963121 0.98036881],1
1446393600,未知,1c090b28-13fb-42f5-b9d5-509eb1f6e8e9,159****2420,风景优美，民风纯朴，路途艰辛但值得，重要的是此行见识了当地人的朴实善良，去时老君山隧道封闭，问路时正好有一当地大哥去栾川，带我们三个多小时翻越老界岭，到达城因为着急加油居然没机会跟他说声谢谢，走312省道时双向二车道，七八公里没有一辆当地的车超车抢道，一切井然有序，县城车少，等红灯时路面没车的情况下摩托车都规规矩矩的等红灯，翻越老界岭走山路对面会车时当地车辆都主动停靠让我们先过，西峡和栾川吃饭也很便宜，分量不是一般的实在，景区也很有序，没有出现任何其他景区的乱相，工作人员很热心，服务很到位，有机会还会再去！,10,[0.0160907 0.9839093],[0.04310101 0.956899  ],[0.02689483 0.97310518],1
1475510400,未知,a93476cb-d6c9-4e18-8953-a65481a60a53,13781lgvack,景色不错！想着国庆期间人会特别多，就提前半天出发，3号下午出发晚上七点到栾川县城，同程预定的汽车站附近的宾馆，条件还可以就是有点吵。4号早上吃过早餐七点多县城出发，县城到景区几公里的路程也很快，游客服务中心换过票后车可以直接开进去，车停到中灵索道附近，才发现景区内好多农家可以住，要知道3号应该直接住景区内，这样晚上可以随便走走。停好车八点多开始排队等中灵索道，感觉来来回回有十几排全都是人，排了一个半小时左右才坐上索道。我同程定的大通票，中灵索道上去又做了峰林索道，到了十里画屏，步行一个多小时，景色秀丽，不虚此行！由于孩子们嫌累，过了伏牛山极顶，看了玻璃观景台后就没有再登金殿，步行去坐索道下山了。全程索道网定票238，如果现场买票是270，同程还是比较划算的！两点多到停车场时还有大批游客在排队等索道，想想等那一个多小时真是特别漫长啊！好在上面景色不错。此行遗憾的是没安排好行程，如果3号住景区农家，可以头天下午逛逛追梦谷，据说那边水很多，也没去成，第二天提前排队中灵索道这边。2点多下山来白云山这边景区住下了，带孩子行程不能安排太满太累！假期出行建议大家提前入住，错开高峰时段！现在我躺在白云山景区的农家休息，写下这篇乱乱的评论，希望能给假期来玩儿的朋友们有一点点帮助！,10,[0.00201922 0.99798078],[0.04843879 0.9515612 ],[0.02058705 0.97941297],1
1450540800,未知,3cb1e965-4a74-48a9-a0e4-e18767f51aa1,135****1898,同程网购的一元门票，19日上午11点顺利到达景区，兑换电子门票非常顺利，提前了解了景点的有关介绍，为节约时间，所以直接买了双程中灵索道和单程枫林索道，直接到十里画屏，天气预报阴天，到了十里画屏，天空突然放晴，阳光下雪花飞舞，好奇观，沿途景区清晰，干净，甚是好看，有点像黄山的感觉，到了马鬃岭和玻璃观景台后，直接爬到金顶道观群景区，阳光下，金顶金碧辉煌，十分好看，海拔温度低，建议做好保暖措施以及备好吃的东西，看看时间不早，就准备下山，下山不走回头路，返回的路是背向的，雪没有融化，台阶有点不好走，这段路基本都是台阶，大概有一千个台阶后，直接到中灵索道下山，体力好的朋友可以免去枫林索道，离栾川县城很近，可以选择到县城住宿，用餐，总之，现在旅游淡季，游客不多，这次天气很给力，景区也干净漂亮，值得一看，期待再次一游，更希望同程网推出更多的景点优惠门票。,10,[0.04453149 0.95546851],[0.11029088 0.8897091 ],[0.07083525 0.92916476],1
1459699200,未知,1a4ad895-a766-471d-8223-21d2a4b3c7e9,150****1870,一次临时起意的旅游，约了好友一家，下午四点半出发，因为事先没计划，也没查询路况，结果洛栾高速施工，只能从嵩县产业聚集区站下站，天晚了在嵩县休息一晚，早上出发前往栾川，九点半下了高速五分钟到景区服务中心，到网络取票窗口很快取好票，开车进入景区，到中灵索道门口停好车，买好每人一百的往返票，就加入了乘坐索道的大军中，开始了长达三个小时的漫长等待，排队的人好多都没带雨具，工作人员冒雨给送来十元一件的雨衣，下了八分钟车程的缆车，第一感觉就是冷，缆车旁边有出租衣服的，门口排起了长队，向上走五六分钟就是中天门和峰林索道，收拾下吃点东西，开始步行上山，一路好风景，陡峭的步梯，望不到底的栈道，远处仙境般的云海，身旁漂亮的雾凇，树枝叶上的冰挂，一路拍照走走停停，结果工作人员所说的半小时路程走了两个半小时还多，看地图上的十里画屏比刚走的距离远多了，时间来不及，只能给下次再光顾留了个借口，来到金殿建筑群，陡峭的山峰上建起诺大的建筑，在内心默默的为建筑师们赞一个，半小时参观后下山到峰林索道，买票上缆车，三四分钟就了中天门，排队十五分钟坐上中灵索道到达停车场，打道回府，回程高速继续封路，五个小时才到家！一天的总结是景区真的很大，没有理解透网友们的评价，下次一定头天晚上住在景区，早上一早游玩，十里画屏一定要去！个人体会，仅供参考！,10,[0.33495732 0.66504268],[0.28555274 0.71444726],[0.31519549 0.68480452],1
